Di1,Di2,V_ip,Ri1,Ri2,success_
1.0e-19,1.0e-19,-0.001,0.001,0.05,Failure
1.0e-19,1.0e-19,-0.001,0.001,1.0,Failure
1.0e-19,1.0e-19,-0.001,0.5,0.05,Failure
1.0e-19,1.0e-19,-0.001,0.5,1.0,Failure
1.0e-19,1.0e-19,-0.01,0.001,0.05,Failure
1.0e-19,1.0e-19,-0.01,0.001,1.0,Failure
1.0e-19,1.0e-19,-0.01,0.5,0.05,Failure
1.0e-19,1.0e-19,-0.01,0.5,1.0,Failure
1.0e-19,1.0e-5,-0.001,0.001,0.05,Failure
1.0e-19,1.0e-5,-0.001,0.001,1.0,Failure
1.0e-19,1.0e-5,-0.001,0.5,0.05,Failure
1.0e-19,1.0e-5,-0.001,0.5,1.0,Failure
1.0e-19,1.0e-5,-0.01,0.001,0.05,Failure
1.0e-19,1.0e-5,-0.01,0.001,1.0,Failure
1.0e-19,1.0e-5,-0.01,0.5,0.05,Failure
1.0e-19,1.0e-5,-0.01,0.5,1.0,Failure
1.0e-5,1.0e-19,-0.001,0.001,0.05,Failure
1.0e-5,1.0e-19,-0.001,0.001,1.0,Failure
1.0e-5,1.0e-19,-0.001,0.5,0.05,Failure
1.0e-5,1.0e-19,-0.001,0.5,1.0,Failure
1.0e-5,1.0e-19,-0.01,0.001,0.05,Failure
1.0e-5,1.0e-19,-0.01,0.001,1.0,Failure
1.0e-5,1.0e-19,-0.01,0.5,0.05,Failure
1.0e-5,1.0e-19,-0.01,0.5,1.0,Failure
1.0e-5,1.0e-5,-0.001,0.001,0.05,Failure
1.0e-5,1.0e-5,-0.001,0.001,1.0,Failure
1.0e-5,1.0e-5,-0.001,0.5,0.05,Failure
1.0e-5,1.0e-5,-0.001,0.5,1.0,Failure
1.0e-5,1.0e-5,-0.01,0.001,0.05,Failure
1.0e-5,1.0e-5,-0.01,0.001,1.0,Failure
1.0e-5,1.0e-5,-0.01,0.5,0.05,Failure
1.0e-5,1.0e-5,-0.01,0.5,1.0,Failure
